Komponente,Zusatztext,Bezeichnung,Bezeichner
Zentrale 1;Laurentiushaus;Z/1;
Primärleitung 124;;P/124;
Primärleitung 121;;P/121;
Primärleitung 123;;P/123;
Primärleitung 131;Ltg 131 BA 1 Links;P/131;
Primärleitung 132;Ltg 132 BA2 Rechts;P/132;
Primärleitung 133;Ltg 133 BA 3 Mitte;P/133;
Meldergruppe 200;;G/200;Haus1.200
Meldergruppe 201;;G/201;Haus1.201
Meldergruppe 202;;G/202;Haus1.202
Meldergruppe 203;;G/203;Haus1.203
Meldergruppe 204;;G/204;Haus1.204
Meldergruppe 205;;G/205;Haus1.205
Meldergruppe 206;;G/206;Haus1.206
Meldergruppe 207;;G/207;Haus1.207
Meldergruppe 208;;G/208;Haus1.208
Meldergruppe 209;;G/209;Haus1.209
Meldergruppe 210;;G/210;Haus1.210
Meldergruppe 211;;G/211;Haus1.211
Meldergruppe 212;;G/212;Haus1.212
Meldergruppe 213;;G/213;Haus1.213
Meldergruppe 214;;G/214;Haus1.214
Meldergruppe 215;;G/215;Haus1.215
Meldergruppe 216;;G/216;Haus1.216
Meldergruppe 217;;G/217;Haus1.217
Meldergruppe 218;;G/218;Haus1.218
Meldergruppe 219;;G/219;Haus1.219
Meldergruppe 220;;G/220;Haus1.220
Meldergruppe 221;;G/221;Haus1.221
Meldergruppe 222;;G/222;Haus1.222
Meldergruppe 223;;G/223;Haus1.223
Meldergruppe 224;;G/224;Haus1.224
Meldergruppe 225;;G/225;Haus1.225
Meldergruppe 226;;G/226;Haus1.226
Meldergruppe 227;;G/227;Haus1.227
Meldergruppe 228;;G/228;Haus1.228
Meldergruppe 229;;G/229;Haus1.229
Meldergruppe 230;;G/230;Haus1.230
Meldergruppe 231;;G/231;Haus1.231
Meldergruppe 232;;G/232;Haus1.232
Meldergruppe 233;;G/233;Haus1.233
Meldergruppe 234;;G/234;Haus1.234
Meldergruppe 235;;G/235;Haus1.235
Meldergruppe 236;;G/236;Haus1.236
Meldergruppe 237;;G/237;Haus1.237
Meldergruppe 238;;G/238;Haus1.238
Meldergruppe 239;;G/239;Haus1.239
Meldergruppe 240;;G/240;Haus1.240
Meldergruppe 241;;G/241;Haus1.241
Meldergruppe 242;;G/242;Haus1.242
Meldergruppe 243;;G/243;Haus1.243
Meldergruppe 244;;G/244;Haus1.244
Meldergruppe 245;;G/245;Haus1.245
Meldergruppe 246;;G/246;Haus1.246
Meldergruppe 247;;G/247;Haus1.247
Meldergruppe 248;;G/248;Haus1.248
Meldergruppe 249;;G/249;Haus1.249
Meldergruppe 250;;G/250;Haus1.250
Meldergruppe 251;;G/251;Haus1.251
Meldergruppe 252;;G/252;Haus1.252
Meldergruppe 253;;G/253;Haus1.253
Meldergruppe 254;;G/254;Haus1.254
Meldergruppe 255;;G/255;Haus1.255
Meldergruppe 256;;G/256;Haus1.256
Meldergruppe 257;;G/257;Haus1.257
Meldergruppe 258;;G/258;Haus1.258
Meldergruppe 259;;G/259;Haus1.259
Meldergruppe 260;;G/260;Haus1.260
Meldergruppe 261;;G/261;Haus1.261
Meldergruppe 262;;G/262;Haus1.262
Meldergruppe 263;;G/263;Haus1.263
Meldergruppe 264;;G/264;Haus1.264
Meldergruppe 265;;G/265;Haus1.265
Meldergruppe 266;;G/266;Haus1.266
Meldergruppe 267;;G/267;Haus1.267
Meldergruppe 268;;G/268;Haus1.268
Meldergruppe 269;;G/269;Haus1.269
Meldergruppe 270;;G/270;Haus1.270
Meldergruppe 271;;G/271;Haus1.271
Meldergruppe 272;;G/272;Haus1.272
Meldergruppe 273;;G/273;Haus1.273
Meldergruppe 274;;G/274;Haus1.274
Meldergruppe 275;;G/275;Haus1.275
Meldergruppe 276;;G/276;Haus1.276
Meldergruppe 277;;G/277;Haus1.277
Meldergruppe 278;;G/278;Haus1.278
Meldergruppe 279;;G/279;Haus1.279
Meldergruppe 280;;G/280;Haus1.280
Meldergruppe 281;;G/281;Haus1.281
Meldergruppe 282;;G/282;Haus1.282
Meldergruppe 283;;G/283;Haus1.283
Meldergruppe 284;;G/284;Haus1.284
Meldergruppe 285;;G/285;Haus1.285
Meldergruppe 286;;G/286;Haus1.286
Meldergruppe 287;;G/287;Haus1.287
Meldergruppe 288;;G/288;Haus1.288
Meldergruppe 289;;G/289;Haus1.289
Meldergruppe 290;;G/290;Haus1.290
Meldergruppe 291;;G/291;Haus1.291
Meldergruppe 292;;G/292;Haus1.292
Meldergruppe 293;;G/293;Haus1.293
Meldergruppe 294;;G/294;Haus1.294
Meldergruppe 295;;G/295;Haus1.295
Meldergruppe 296;;G/296;Haus1.296
Meldergruppe 297;;G/297;Haus1.297
Meldergruppe 298;;G/298;Haus1.298
Meldergruppe 299;;G/299;Haus1.299
Meldergruppe 300;;G/300;Haus1.300
Steuergruppen 1;;S/1;Haus1.1
Steuergruppen 2;;S/2;Haus1.2
Steuergruppen 3;;S/3;Haus1.3
Steuergruppen 4;;S/4;Haus1.4
Steuergruppen 5;;S/5;Haus1.5
Steuergruppen 6;;S/6;Haus1.6
Steuergruppen 7;;S/7;Haus1.7
Steuergruppen 8;;S/8;Haus1.8
Steuergruppen 9;;S/9;Haus1.9
Steuergruppen 10;;S/10;Haus1.10
Steuergruppen 11;;S/11;Haus1.11
Steuergruppen 12;;S/12;Haus1.12
Steuergruppen 13;;S/13;Haus1.13
Steuergruppen 14;;S/14;Haus1.14
Steuergruppen 15;;S/15;Haus1.15
Steuergruppen 16;;S/16;Haus1.16
Steuergruppen 17;;S/17;Haus1.17
Steuergruppen 18;;S/18;Haus1.18
Steuergruppen 19;;S/19;Haus1.19
Steuergruppen 20;;S/20;Haus1.20
Steuergruppen 21;;S/21;Haus1.21
Steuergruppen 22;;S/22;Haus1.22
Steuergruppen 23;;S/23;Haus1.23
Steuergruppen 24;;S/24;Haus1.24
Steuergruppen 25;;S/25;Haus1.25
Steuergruppen 26;;S/26;Haus1.26
Steuergruppen 27;;S/27;Haus1.27
Steuergruppen 28;;S/28;Haus1.28
Steuergruppen 29;;S/29;Haus1.29
Steuergruppen 30;;S/30;Haus1.30
Steuergruppen 31;;S/31;Haus1.31
Steuergruppen 32;;S/32;Haus1.32
Steuergruppen 33;;S/33;Haus1.33
Steuergruppen 34;;S/34;Haus1.34
Steuergruppen 35;;S/35;Haus1.35
Steuergruppen 36;;S/36;Haus1.36
Steuergruppen 37;;S/37;Haus1.37
Steuergruppen 38;;S/38;Haus1.38
Steuergruppen 39;;S/39;Haus1.39
Steuergruppen 40;;S/40;Haus1.40
Steuergruppen 41;;S/41;Haus1.41
Steuergruppen 42;;S/42;Haus1.42
Steuergruppen 43;;S/43;Haus1.43
Steuergruppen 44;;S/44;Haus1.44
Steuergruppen 45;;S/45;Haus1.45
Steuergruppen 46;;S/46;Haus1.46
Steuergruppen 47;;S/47;Haus1.47
Steuergruppen 48;;S/48;Haus1.48
Steuergruppen 49;;S/49;Haus1.49
Steuergruppen 50;;S/50;Haus1.50
Steuergruppen 51;;S/51;Haus1.51
Steuergruppen 52;;S/52;Haus1.52
Steuergruppen 53;;S/53;Haus1.53
Steuergruppen 54;;S/54;Haus1.54
Steuergruppen 55;;S/55;Haus1.55
Steuergruppen 56;;S/56;Haus1.56
Steuergruppen 57;;S/57;Haus1.57
Steuergruppen 58;;S/58;Haus1.58
Steuergruppen 59;;S/59;Haus1.59
Steuergruppen 60;;S/60;Haus1.60
Steuergruppen 61;;S/61;Haus1.61
Steuergruppen 62;;S/62;Haus1.62
Steuergruppen 63;;S/63;Haus1.63
Steuergruppen 64;;S/64;Haus1.64
Steuergruppen 65;;S/65;Haus1.65
Steuergruppen 66;;S/66;Haus1.66
Steuergruppen 67;;S/67;Haus1.67
Steuergruppen 68;;S/68;Haus1.68
Steuergruppen 69;;S/69;Haus1.69
Steuergruppen 70;;S/70;Haus1.70
Steuergruppen 71;;S/71;Haus1.71
Steuergruppen 72;;S/72;Haus1.72
Steuergruppen 73;;S/73;Haus1.73
Steuergruppen 74;;S/74;Haus1.74
Steuergruppen 75;;S/75;Haus1.75
Steuergruppen 76;;S/76;Haus1.76
Steuergruppen 77;;S/77;Haus1.77
Steuergruppen 78;;S/78;Haus1.78
Steuergruppen 79;;S/79;Haus1.79
Steuergruppen 80;;S/80;Haus1.80
Steuergruppen 81;;S/81;Haus1.81
Steuergruppen 82;;S/82;Haus1.82
Steuergruppen 83;;S/83;Haus1.83
Steuergruppen 84;;S/84;Haus1.84
Steuergruppen 85;;S/85;Haus1.85
Steuergruppen 86;;S/86;Haus1.86
Steuergruppen 87;;S/87;Haus1.87
Steuergruppen 88;;S/88;Haus1.88
Steuergruppen 89;;S/89;Haus1.89
Steuergruppen 90;;S/90;Haus1.90
Steuergruppen 91;;S/91;Haus1.91
Steuergruppen 92;;S/92;Haus1.92
Steuergruppen 93;;S/93;Haus1.93
Steuergruppen 94;;S/94;Haus1.94
Steuergruppen 95;;S/95;Haus1.95
Steuergruppen 96;;S/96;Haus1.96
Steuergruppen 97;;S/97;Haus1.97
Steuergruppen 98;;S/98;Haus1.98
Steuergruppen 99;;S/99;Haus1.99
Steuergruppen 100;;S/100;Haus1.100
Zentrale 2;Johanneshaus;Z/2;
Primärleitung 224;;P/224;
Primärleitung 231;Kloster der Heimsuchung;P/231;
Primärleitung 232;Johanneshaus;P/232;
Steuergruppen 200;Feuer v. 2OG J-Haus;S/200;
Steuergruppen 201;Sirenen Kloster;S/201;
Steuergruppen 202;Aufzug Feuer v.EG Kloster;S/202;
Steuergruppen 203;Aufzug Feuer v.OG Kloster;S/203;
Steuergruppen 204;Feuer von KG J-Haus;S/204;
Steuergruppen 205;Feuer von EG J-Haus;S/205;
Steuergruppen 206;Feuer von OG J-Haus;S/206;
Steuergruppen 207;Sirenen Johanneshaus KG;S/207;
Steuergruppen 208;Sirenen Johanneshaus DG;S/208;
Meldergruppe 400;;G/400;Haus2.400
Meldergruppe 401;;G/401;Haus2.401
Meldergruppe 402;;G/402;Haus2.402
Meldergruppe 403;;G/403;Haus2.403
Meldergruppe 404;;G/404;Haus2.404
Meldergruppe 405;;G/405;Haus2.405
Meldergruppe 406;;G/406;Haus2.406
Meldergruppe 407;;G/407;Haus2.407
Meldergruppe 408;;G/408;Haus2.408
Meldergruppe 409;;G/409;Haus2.409
Meldergruppe 410;;G/410;Haus2.410
Meldergruppe 411;;G/411;Haus2.411
Meldergruppe 412;;G/412;Haus2.412
Meldergruppe 413;;G/413;Haus2.413
Meldergruppe 414;;G/414;Haus2.414
Meldergruppe 415;;G/415;Haus2.415
Meldergruppe 416;;G/416;Haus2.416
Meldergruppe 417;;G/417;Haus2.417
Meldergruppe 418;;G/418;Haus2.418
Meldergruppe 419;;G/419;Haus2.419
Meldergruppe 420;;G/420;Haus2.420
Meldergruppe 421;;G/421;Haus2.421
Meldergruppe 422;;G/422;Haus2.422
Meldergruppe 423;;G/423;Haus2.423
Meldergruppe 424;;G/424;Haus2.424
Meldergruppe 425;;G/425;Haus2.425
Meldergruppe 426;;G/426;Haus2.426
Meldergruppe 427;;G/427;Haus2.427
Meldergruppe 428;;G/428;Haus2.428
Meldergruppe 429;;G/429;Haus2.429
Meldergruppe 430;;G/430;Haus2.430
Meldergruppe 431;;G/431;Haus2.431
Meldergruppe 432;;G/432;Haus2.432
Meldergruppe 433;;G/433;Haus2.433
Meldergruppe 434;;G/434;Haus2.434
Meldergruppe 435;;G/435;Haus2.435
Meldergruppe 436;;G/436;Haus2.436
Meldergruppe 437;;G/437;Haus2.437
Meldergruppe 438;;G/438;Haus2.438
Meldergruppe 439;;G/439;Haus2.439
Meldergruppe 440;;G/440;Haus2.440
Meldergruppe 441;;G/441;Haus2.441
Meldergruppe 442;;G/442;Haus2.442
Meldergruppe 443;;G/443;Haus2.443
Meldergruppe 444;;G/444;Haus2.444
Meldergruppe 445;;G/445;Haus2.445
Meldergruppe 446;;G/446;Haus2.446
Meldergruppe 447;;G/447;Haus2.447
Meldergruppe 448;;G/448;Haus2.448
Meldergruppe 449;;G/449;Haus2.449
Meldergruppe 450;;G/450;Haus2.450
Meldergruppe 451;;G/451;Haus2.451
Meldergruppe 452;;G/452;Haus2.452
Meldergruppe 453;;G/453;Haus2.453
Meldergruppe 454;;G/454;Haus2.454
Meldergruppe 455;;G/455;Haus2.455
Meldergruppe 456;;G/456;Haus2.456
Meldergruppe 457;;G/457;Haus2.457
Meldergruppe 458;;G/458;Haus2.458
Meldergruppe 459;;G/459;Haus2.459
Meldergruppe 460;;G/460;Haus2.460
Meldergruppe 461;;G/461;Haus2.461
Meldergruppe 462;;G/462;Haus2.462
Meldergruppe 463;;G/463;Haus2.463
Meldergruppe 464;;G/464;Haus2.464
Meldergruppe 465;;G/465;Haus2.465
Meldergruppe 466;;G/466;Haus2.466
Meldergruppe 467;;G/467;Haus2.467
Meldergruppe 468;;G/468;Haus2.468
Meldergruppe 469;;G/469;Haus2.469
Meldergruppe 470;;G/470;Haus2.470
Meldergruppe 471;;G/471;Haus2.471
Meldergruppe 472;;G/472;Haus2.472
Meldergruppe 473;;G/473;Haus2.473
Meldergruppe 474;;G/474;Haus2.474
Meldergruppe 475;;G/475;Haus2.475
Meldergruppe 476;;G/476;Haus2.476
Meldergruppe 477;;G/477;Haus2.477
Meldergruppe 478;;G/478;Haus2.478
Meldergruppe 479;;G/479;Haus2.479
Meldergruppe 480;;G/480;Haus2.480
Meldergruppe 481;;G/481;Haus2.481
Meldergruppe 482;;G/482;Haus2.482
Meldergruppe 483;;G/483;Haus2.483
Meldergruppe 484;;G/484;Haus2.484
Meldergruppe 485;;G/485;Haus2.485
Meldergruppe 486;;G/486;Haus2.486
Meldergruppe 487;;G/487;Haus2.487
Meldergruppe 488;;G/488;Haus2.488
Meldergruppe 489;;G/489;Haus2.489
Meldergruppe 490;;G/490;Haus2.490
Meldergruppe 491;;G/491;Haus2.491
Meldergruppe 492;;G/492;Haus2.492
Meldergruppe 493;;G/493;Haus2.493
Meldergruppe 494;;G/494;Haus2.494
Meldergruppe 495;;G/495;Haus2.495
Meldergruppe 496;;G/496;Haus2.496
Meldergruppe 497;;G/497;Haus2.497
Meldergruppe 498;;G/498;Haus2.498
Meldergruppe 499;;G/499;Haus2.499
Meldergruppe 500;;G/500;Haus2.500
Meldergruppe 1000;;S/1000;Haus2.1000
Meldergruppe 1001;;S/1001;Haus2.1001
Meldergruppe 1002;;S/1002;Haus2.1002
Meldergruppe 1003;;S/1003;Haus2.1003
Meldergruppe 1004;;S/1004;Haus2.1004
Meldergruppe 1005;;S/1005;Haus2.1005
Meldergruppe 1006;;S/1006;Haus2.1006
Meldergruppe 1007;;S/1007;Haus2.1007
Meldergruppe 1008;;S/1008;Haus2.1008
Meldergruppe 1009;;S/1009;Haus2.1009
Meldergruppe 1010;;S/1010;Haus2.1010
Meldergruppe 1011;;S/1011;Haus2.1011
Meldergruppe 1012;;S/1012;Haus2.1012
Meldergruppe 1013;;S/1013;Haus2.1013
Meldergruppe 1014;;S/1014;Haus2.1014
Meldergruppe 1015;;S/1015;Haus2.1015
Meldergruppe 1016;;S/1016;Haus2.1016
Meldergruppe 1017;;S/1017;Haus2.1017
Meldergruppe 1018;;S/1018;Haus2.1018
Meldergruppe 1019;;S/1019;Haus2.1019
Meldergruppe 1020;;S/1020;Haus2.1020
Meldergruppe 1021;;S/1021;Haus2.1021
Meldergruppe 1022;;S/1022;Haus2.1022
Meldergruppe 1023;;S/1023;Haus2.1023
Meldergruppe 1024;;S/1024;Haus2.1024
Meldergruppe 1025;;S/1025;Haus2.1025
Meldergruppe 1026;;S/1026;Haus2.1026
Meldergruppe 1027;;S/1027;Haus2.1027
Meldergruppe 1028;;S/1028;Haus2.1028
Meldergruppe 1029;;S/1029;Haus2.1029
Meldergruppe 1030;;S/1030;Haus2.1030
Meldergruppe 1031;;S/1031;Haus2.1031
Meldergruppe 1032;;S/1032;Haus2.1032
Meldergruppe 1033;;S/1033;Haus2.1033
Meldergruppe 1034;;S/1034;Haus2.1034
Meldergruppe 1035;;S/1035;Haus2.1035
Meldergruppe 1036;;S/1036;Haus2.1036
Meldergruppe 1037;;S/1037;Haus2.1037
Meldergruppe 1038;;S/1038;Haus2.1038
Meldergruppe 1039;;S/1039;Haus2.1039
Meldergruppe 1040;;S/1040;Haus2.1040
Meldergruppe 1041;;S/1041;Haus2.1041
Meldergruppe 1042;;S/1042;Haus2.1042
Meldergruppe 1043;;S/1043;Haus2.1043
Meldergruppe 1044;;S/1044;Haus2.1044
Meldergruppe 1045;;S/1045;Haus2.1045
Meldergruppe 1046;;S/1046;Haus2.1046
Meldergruppe 1047;;S/1047;Haus2.1047
Meldergruppe 1048;;S/1048;Haus2.1048
Meldergruppe 1049;;S/1049;Haus2.1049
Meldergruppe 1050;;S/1050;Haus2.1050
Meldergruppe 1051;;S/1051;Haus2.1051
Meldergruppe 1052;;S/1052;Haus2.1052
Meldergruppe 1053;;S/1053;Haus2.1053
Meldergruppe 1054;;S/1054;Haus2.1054
Meldergruppe 1055;;S/1055;Haus2.1055
Meldergruppe 1056;;S/1056;Haus2.1056
Meldergruppe 1057;;S/1057;Haus2.1057
Meldergruppe 1058;;S/1058;Haus2.1058
Meldergruppe 1059;;S/1059;Haus2.1059
Meldergruppe 1060;;S/1060;Haus2.1060
Meldergruppe 1061;;S/1061;Haus2.1061
Meldergruppe 1062;;S/1062;Haus2.1062
Meldergruppe 1063;;S/1063;Haus2.1063
Meldergruppe 1064;;S/1064;Haus2.1064
Meldergruppe 1065;;S/1065;Haus2.1065
Meldergruppe 1066;;S/1066;Haus2.1066
Meldergruppe 1067;;S/1067;Haus2.1067
Meldergruppe 1068;;S/1068;Haus2.1068
Meldergruppe 1069;;S/1069;Haus2.1069
Meldergruppe 1070;;S/1070;Haus2.1070
Meldergruppe 1071;;S/1071;Haus2.1071
Meldergruppe 1072;;S/1072;Haus2.1072
Meldergruppe 1073;;S/1073;Haus2.1073
Meldergruppe 1074;;S/1074;Haus2.1074
Meldergruppe 1075;;S/1075;Haus2.1075
Meldergruppe 1076;;S/1076;Haus2.1076
Meldergruppe 1077;;S/1077;Haus2.1077
Meldergruppe 1078;;S/1078;Haus2.1078
Meldergruppe 1079;;S/1079;Haus2.1079
Meldergruppe 1080;;S/1080;Haus2.1080
Meldergruppe 1081;;S/1081;Haus2.1081
Meldergruppe 1082;;S/1082;Haus2.1082
Meldergruppe 1083;;S/1083;Haus2.1083
Meldergruppe 1084;;S/1084;Haus2.1084
Meldergruppe 1085;;S/1085;Haus2.1085
Meldergruppe 1086;;S/1086;Haus2.1086
Meldergruppe 1087;;S/1087;Haus2.1087
Meldergruppe 1088;;S/1088;Haus2.1088
Meldergruppe 1089;;S/1089;Haus2.1089
Meldergruppe 1090;;S/1090;Haus2.1090
Meldergruppe 1091;;S/1091;Haus2.1091
Meldergruppe 1092;;S/1092;Haus2.1092
Meldergruppe 1093;;S/1093;Haus2.1093
Meldergruppe 1094;;S/1094;Haus2.1094
Meldergruppe 1095;;S/1095;Haus2.1095
Meldergruppe 1096;;S/1096;Haus2.1096
Meldergruppe 1097;;S/1097;Haus2.1097
Meldergruppe 1098;;S/1098;Haus2.1098
Meldergruppe 1099;;S/1099;Haus2.1099
Meldergruppe 1100;;S/1100;Haus2.1100
Meldergruppe 1101;;S/1101;Haus2.1101
Meldergruppe 1102;;S/1102;Haus2.1102
Meldergruppe 1103;;S/1103;Haus2.1103
Meldergruppe 1104;;S/1104;Haus2.1104
Meldergruppe 1105;;S/1105;Haus2.1105
Meldergruppe 1106;;S/1106;Haus2.1106
Meldergruppe 1107;;S/1107;Haus2.1107
Meldergruppe 1108;;S/1108;Haus2.1108
Meldergruppe 1109;;S/1109;Haus2.1109
Meldergruppe 1110;;S/1110;Haus2.1110
Meldergruppe 1111;;S/1111;Haus2.1111
Meldergruppe 1112;;S/1112;Haus2.1112
Meldergruppe 1113;;S/1113;Haus2.1113
Meldergruppe 1114;;S/1114;Haus2.1114
Meldergruppe 1115;;S/1115;Haus2.1115
Meldergruppe 1116;;S/1116;Haus2.1116
Meldergruppe 1117;;S/1117;Haus2.1117
Meldergruppe 1118;;S/1118;Haus2.1118
Meldergruppe 1119;;S/1119;Haus2.1119
Meldergruppe 1120;;S/1120;Haus2.1120
Meldergruppe 1121;;S/1121;Haus2.1121
Meldergruppe 1122;;S/1122;Haus2.1122
Meldergruppe 1123;;S/1123;Haus2.1123
Meldergruppe 1124;;S/1124;Haus2.1124
Meldergruppe 1125;;S/1125;Haus2.1125
Meldergruppe 1126;;S/1126;Haus2.1126
Meldergruppe 1127;;S/1127;Haus2.1127
Meldergruppe 1128;;S/1128;Haus2.1128
Meldergruppe 1129;;S/1129;Haus2.1129
Meldergruppe 1130;;S/1130;Haus2.1130
Meldergruppe 1131;;S/1131;Haus2.1131
Meldergruppe 1132;;S/1132;Haus2.1132
Meldergruppe 1133;;S/1133;Haus2.1133
Meldergruppe 1134;;S/1134;Haus2.1134
Meldergruppe 1135;;S/1135;Haus2.1135
Meldergruppe 1136;;S/1136;Haus2.1136
